TweetID;Tagger;Satz;Subjekt;Verb;Objekt
8,10E+17;BluemixTagger;The flat tire was replaced by the driver.;by the driver;was replaced;The flat tire
8,10E+17;BluemixTagger; The woman built a strong stone wall.;The woman;built;a strong stone wall
8,10E+17;BluemixTagger;The flat tire was replaced by the driver.;by the driver;was replaced;The flat tire
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;BluemixTagger;Let's play a game;'s;play;a game
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,16813E+17;BluemixTagger; Juveniles rescued from Lake Serene by Snohomish Co Fire 1.;by Snohomish Co Fire 1;rescued;Juveniles
8,19268E+17;BluemixTagger;Yet again, all after school events &amp, practices have been cancelled for the evening of January 11th and the...;practices;been;cancelled
8,22541E+17;BluemixTagger;Sage #security advice: Stop using ���123456�۪ as a password!;���123456�۪;Stop using;as a password
8,29997E+17;StanfordTagger;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi.;girl;girlpornpictures;https:\/\/t.co\/6Sh1yDY1Mi
8,0631E+17;BluemixTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;the worst game of my life
8,0631E+17;StanfordTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;Lonnie
8,18343E+17;StanfordTagger;Howo to process moringa into great products- a video https://t.co/P8Rgohduhu.;Howo;process;moringa
7,99188E+17;StanfordTagger;Just posted a photo @ Salamanca, Spain https://t.co/j7A9w5tcrj.;Salamanca;posted;photo
8,06821E+17;BluemixTagger;You're treading cautiously today as you doubt the stability of...;you;doubt;the stability
8,06821E+17;StanfordTagger;You're treading cautiously today as you doubt the stability of... More for Virgo https://t.co/9W7QTea6ME.;you;doubt;stability
8,10E+17;WatsonTagger;The flat tire was replaced by the driver.;by the driver;was replaced;The flat tire
8,10E+17;WatsonTagger; The woman built a strong stone wall.;The woman;built;a strong stone wall
8,10E+17;WatsonTagger;The flat tire was replaced by the driver.;by the driver;was replaced;The flat tire
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;WatsonTagger;Let's play a game;'s;play;a game
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,16813E+17;WatsonTagger; Juveniles rescued from Lake Serene by Snohomish Co Fire 1.;by Snohomish Co Fire 1;rescued;Juveniles
8,19268E+17;WatsonTagger;Yet again, all after school events &amp, practices have been cancelled for the evening of January 11th and the...;practices;been;cancelled
8,22541E+17;WatsonTagger;Sage #security advice: Stop using ���123456�۪ as a password!;���123456�۪;Stop using;as a password
8,29997E+17;StanfordTagger;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi.;girl;girlpornpictures;https:\/\/t.co\/6Sh1yDY1Mi
8,0631E+17;WatsonTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;the worst game of my life
8,0631E+17;StanfordTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;Lonnie
8,18343E+17;StanfordTagger;Howo to process moringa into great products- a video https://t.co/P8Rgohduhu.;Howo;process;moringa
7,99188E+17;StanfordTagger;Just posted a photo @ Salamanca, Spain https://t.co/j7A9w5tcrj.;Salamanca;posted;photo
8,06821E+17;WatsonTagger;You're treading cautiously today as you doubt the stability of...;you;doubt;the stability
8,06821E+17;StanfordTagger;You're treading cautiously today as you doubt the stability of... More for Virgo https://t.co/9W7QTea6ME.;you;doubt;stability
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,29997E+17;StanfordTagger;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi.;girl;girlpornpictures;https:\/\/t.co\/6Sh1yDY1Mi
8,0631E+17;StanfordTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;Lonnie
8,18343E+17;StanfordTagger;Howo to process moringa into great products- a video https://t.co/P8Rgohduhu.;Howo;process;moringa
7,99188E+17;StanfordTagger;Just posted a photo @ Salamanca, Spain https://t.co/j7A9w5tcrj.;Salamanca;posted;photo
8,06821E+17;StanfordTagger;You're treading cautiously today as you doubt the stability of... More for Virgo https://t.co/9W7QTea6ME.;you;doubt;stability
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,29997E+17;StanfordTagger;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi.;girl;girlpornpictures;https:\/\/t.co\/6Sh1yDY1Mi
8,0631E+17;StanfordTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;Lonnie
8,18343E+17;StanfordTagger;Howo to process moringa into great products- a video https://t.co/P8Rgohduhu.;Howo;process;moringa
7,99188E+17;StanfordTagger;Just posted a photo @ Salamanca, Spain https://t.co/j7A9w5tcrj.;Salamanca;posted;photo
8,06821E+17;StanfordTagger;You're treading cautiously today as you doubt the stability of... More for Virgo https://t.co/9W7QTea6ME.;you;doubt;stability
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,29997E+17;StanfordTagger;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi.;girl;girlpornpictures;https:\/\/t.co\/6Sh1yDY1Mi
8,0631E+17;StanfordTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;Lonnie
8,18343E+17;StanfordTagger;Howo to process moringa into great products- a video https://t.co/P8Rgohduhu.;Howo;process;moringa
7,99188E+17;StanfordTagger;Just posted a photo @ Salamanca, Spain https://t.co/j7A9w5tcrj.;Salamanca;posted;photo
8,06821E+17;StanfordTagger;You're treading cautiously today as you doubt the stability of... More for Virgo https://t.co/9W7QTea6ME.;you;doubt;stability
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,29997E+17;StanfordTagger;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi.;girl;girlpornpictures;https:\/\/t.co\/6Sh1yDY1Mi
8,0631E+17;StanfordTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;Lonnie
8,18343E+17;StanfordTagger;Howo to process moringa into great products- a video https://t.co/P8Rgohduhu.;Howo;process;moringa
7,99188E+17;StanfordTagger;Just posted a photo @ Salamanca, Spain https://t.co/j7A9w5tcrj.;Salamanca;posted;photo
8,06821E+17;StanfordTagger;You're treading cautiously today as you doubt the stability of... More for Virgo https://t.co/9W7QTea6ME.;you;doubt;stability
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,29997E+17;StanfordTagger;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi.;girl;girlpornpictures;https:\/\/t.co\/6Sh1yDY1Mi
8,0631E+17;StanfordTagger;On my Brovah grave I just played the worst game of my life on freshout,Justin,Tae,Tyra,Dre,Lonnie, on my grandmother??;I;played;Lonnie
8,18343E+17;StanfordTagger;Howo to process moringa into great products- a video https://t.co/P8Rgohduhu.;Howo;process;moringa
7,99188E+17;StanfordTagger;Just posted a photo @ Salamanca, Spain https://t.co/j7A9w5tcrj.;Salamanca;posted;photo
8,06821E+17;StanfordTagger;You're treading cautiously today as you doubt the stability of... More for Virgo https://t.co/9W7QTea6ME.;you;doubt;stability
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,10E+17;StanfordTagger;The woman built a strong stone wall.;woman;built;wall
8,04153E+17;StanfordTagger;Let's play a game.;'s;play;game
8,29997E+17;StanfordTagger;#new sexy girl girlpornpictures https://t.co/6Sh1yDY1Mi.;girl;girlpornpictures;https:\/\/t.co\/6Sh1yDY1Mi
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
8,10E+17;StanfordTagger;Trying to play Battlefield 4 and the bastard keep killing me, it's stressing me out.;it;stressing out;me
